135,1,0,0,0
135,2,1,15,5
135,3,0,20,20
136,1,0,0,0
136,2,1,10,35
136,3,0,15,65
137,1,0,0,0
137,2,0,10,20
137,3,1,15,65
138,1,0,0,0
138,2,0,15,20
138,3,1,20,50
139,1,0,0,0
139,2,0,5,50
139,3,1,10,65
140,1,0,0,0
140,2,0,10,5
140,3,1,15,35
141,1,0,0,0
141,2,0,5,5
141,3,1,20,20
142,1,0,0,0
142,2,0,5,35
142,3,1,15,50
143,1,0,0,0
143,2,0,10,35
143,3,1,20,50
144,1,0,0,0
144,2,0,15,5
144,3,1,20,65
145,1,0,0,0
145,2,0,5,5
145,3,1,10,50
146,1,0,0,0
146,2,1,5,65
146,3,0,10,80
147,1,0,0,0
147,2,1,5,20
147,3,0,20,35
148,1,0,0,0
148,2,1,5,20
148,3,0,15,35
149,1,0,0,0
149,2,1,5,50
149,3,0,20,65
150,1,0,0,0
150,2,0,10,5
150,3,1,15,50
151,1,0,0,0
151,2,0,15,5
151,3,1,20,20
152,1,0,0,0
152,2,0,10,35
152,3,1,15,65
153,1,0,0,0
153,2,0,5,20
153,3,1,10,50
154,1,0,0,0
154,2,0,5,50
154,3,1,15,65
155,1,0,0,0
155,2,0,10,20
155,3,1,20,35
156,1,0,0,0
156,2,0,5,65
156,3,1,15,80
157,1,0,0,0
157,2,0,10,5
157,3,1,15,20
158,1,0,0,0
158,2,0,15,5
158,3,1,20,35
159,1,0,0,0
159,2,0,5,35
159,3,1,20,50
160,1,0,0,0
160,2,0,5,5
160,3,1,10,65
161,1,0,0,0
161,2,0,10,20
161,3,1,15,65
162,1,0,0,0
162,2,0,15,20
162,3,1,20,50
163,1,0,0,0
163,2,0,5,50
163,3,1,10,65
164,1,0,0,0
164,2,0,10,5
164,3,1,15,35
165,1,0,0,0
165,2,0,5,5
165,3,1,20,20
166,1,0,0,0
166,2,0,5,35
166,3,1,15,50
167,1,0,0,0
167,2,0,10,35
167,3,1,20,50
168,1,0,0,0
168,2,0,15,5
168,3,1,20,65
169,1,1,0,0
169,2,0,5,20
169,3,0,10,50
170,1,0,0,0
170,2,1,5,50
170,3,0,15,65
171,1,0,0,0
171,2,1,10,20
171,3,0,20,35
172,1,0,0,0
172,2,1,5,65
172,3,0,15,80
173,1,0,0,0
173,2,1,10,5
173,3,0,15,20
174,1,1,0,0
174,2,0,15,5
174,3,0,20,35
175,1,0,0,0
175,2,1,5,35
175,3,0,20,50
176,1,0,0,0
176,2,0,5,5
176,3,1,10,65
177,1,1,0,0
177,2,0,5,5
177,3,0,10,50
178,1,0,0,0
178,2,1,5,65
178,3,0,10,80
179,1,0,0,0
179,2,1,5,20
179,3,0,20,35
180,1,0,0,0
180,2,1,5,20
180,3,0,15,35
181,1,0,0,0
181,2,1,5,50
181,3,0,20,65
182,1,1,0,0
182,2,0,10,5
182,3,0,15,50
183,1,1,0,0
183,2,0,15,5
183,3,0,20,20
184,1,1,0,0
184,2,0,10,35
184,3,0,15,65
185,1,0,0,0
185,2,0,10,20
185,3,1,15,65
186,1,0,0,0
186,2,1,15,20
186,3,0,20,50
187,1,0,0,0
187,2,0,5,50
187,3,1,10,65
188,1,0,0,0
188,2,0,10,5
188,3,1,15,35
189,1,0,0,0
189,2,1,5,5
189,3,0,20,20
190,1,0,0,0
190,2,0,5,35
190,3,1,15,50
191,1,0,0,0
191,2,1,10,35
191,3,0,20,50
192,1,0,0,0
192,2,0,15,5
192,3,1,20,65
193,1,0,0,0
193,2,0,5,20
193,3,1,10,50
194,1,0,0,0
194,2,0,5,50
194,3,1,15,65
195,1,0,0,0
195,2,0,10,20
195,3,1,20,35
196,1,0,0,0
196,2,0,5,65
196,3,1,15,80
197,1,0,0,0
197,2,1,10,5
197,3,0,15,20
198,1,0,0,0
198,2,0,15,5
198,3,1,20,35
199,1,0,0,0
199,2,0,5,35
199,3,1,20,50
200,1,0,0,0
200,2,0,5,5
200,3,1,10,65
201,1,0,0,0
201,2,0,10,20
201,3,1,15,65
202,1,0,0,0
202,2,0,15,20
202,3,1,20,50
203,1,0,0,0
203,2,0,5,50
203,3,1,10,65
204,1,0,0,0
204,2,0,10,5
204,3,1,15,35
205,1,0,0,0
205,2,0,5,5
205,3,1,20,20
206,1,0,0,0
206,2,0,5,35
206,3,1,15,50
207,1,0,0,0
207,2,0,10,35
207,3,1,20,50
208,1,0,0,0
208,2,0,15,5
208,3,1,20,65
209,1,0,0,0
209,2,1,5,5
209,3,0,10,50
210,1,0,0,0
210,2,1,5,65
210,3,0,10,80
211,1,0,0,0
211,2,1,5,20
211,3,0,20,35
212,1,0,0,0
212,2,1,5,20
212,3,0,15,35
213,1,0,0,0
213,2,1,5,50
213,3,0,20,65
214,1,0,0,0
214,2,0,10,5
214,3,1,15,50
215,1,0,0,0
215,2,1,15,5
215,3,0,20,20
216,1,0,0,0
216,2,1,10,35
216,3,0,15,65
217,1,1,0,0
217,2,0,10,20
217,3,0,15,65
218,1,1,0,0
218,2,0,15,20
218,3,0,20,50
219,1,0,0,0
219,2,1,5,50
219,3,0,10,65
220,1,1,0,0
220,2,0,10,5
220,3,0,15,35
221,1,0,0,0
221,2,1,5,5
221,3,0,20,20
222,1,0,0,0
222,2,1,5,35
222,3,0,15,50
223,1,1,0,0
223,2,0,10,35
223,3,0,20,50
224,1,1,0,0
224,2,0,15,5
224,3,0,20,65
